2015-12-17 16:57:21 status half-installed base-passwd:armhf 3.5.37
2015-12-17 16:57:21 status unpacked base-passwd:armhf 3.5.37
2015-12-17 16:57:21 status unpacked base-passwd:armhf 3.5.37
2015-12-17 16:57:22 install bash:armhf <none> 4.3-11+b1
2015-12-17 16:57:22 status half-installed bash:armhf 4.3-11+b1
2015-12-17 16:57:22 status unpacked bash:armhf 4.3-11+b1
2015-12-17 16:57:22 status unpacked bash:armhf 4.3-11+b1
2015-12-17 16:57:23 install bsdutils:armhf <none> 1:2.25.2-6
2015-12-17 16:57:23 status half-installed bsdutils:armhf 1:2.25.2-6
2015-12-17 16:57:23 status unpacked bsdutils:armhf 1:2.25.2-6
2015-12-17 16:57:23 status unpacked bsdutils:armhf 1:2.25.2-6
2015-12-17 16:57:23 install coreutils:armhf <none> 8.23-4
2015-12-17 16:57:23 status half-installed coreutils:armhf 8.23-4
2015-12-17 16:57:24 status unpacked coreutils:armhf 8.23-4
2015-12-17 16:57:24 status unpacked coreutils:armhf 8.23-4
2015-12-17 16:57:25 install dash:armhf <none> 0.5.7-4+b1
2015-12-17 16:57:25 status half-installed dash:armhf 0.5.7-4+b1
2015-12-17 16:57:25 status unpacked dash:armhf 0.5.7-4+b1
2015-12-17 16:57:25 status unpacked dash:armhf 0.5.7-4+b1
2015-12-17 16:57:25 upgrade debconf:all 1.5.56 1.5.56
2015-12-17 16:57:25 status half-configured debconf:all 1.5.56
2015-12-17 16:57:26 status unpacked debconf:all 1.5.56
2015-12-17 16:57:26 status half-installed debconf:all 1.5.56
2015-12-17 16:57:26 status half-installed debconf:all 1.5.56
2015-12-17 16:57:26 status unpacked debconf:all 1.5.56
2015-12-17 16:57:26 status unpacked debconf:all 1.5.56
2015-12-17 16:57:26 install debconf-i18n:all <none> 1.5.56
2015-12-17 16:57:26 status half-installed debconf-i18n:all 1.5.56
2015-12-17 16:57:26 status unpacked debconf-i18n:all 1.5.56
2015-12-17 16:57:26 status unpacked debconf-i18n:all 1.5.56
2015-12-17 16:57:27 install debianutils:armhf <none> 4.4+b1
2015-12-17 16:57:27 status half-installed debianutils:armhf 4.4+b1
2015-12-17 16:57:27 status unpacked debianutils:armhf 4.4+b1
2015-12-17 16:57:27 status unpacked debianutils:armhf 4.4+b1
2015-12-17 16:57:27 install diffutils:armhf <none> 1:3.3-1+b1
2015-12-17 16:57:27 status half-installed diffutils:armhf 1:3.3-1+b1
2015-12-17 16:57:27 status unpacked diffutils:armhf 1:3.3-1+b1
2015-12-17 16:57:27 status unpacked diffutils:armhf 1:3.3-1+b1
2015-12-17 16:57:27 install dmsetup:armhf <none> 2:1.02.90-2.2
2015-12-17 16:57:27 status half-installed dmsetup:armhf 2:1.02.90-2.2
2015-12-17 16:57:27 status unpacked dmsetup:armhf 2:1.02.90-2.2
2015-12-17 16:57:27 status unpacked dmsetup:armhf 2:1.02.90-2.2
2015-12-17 16:57:28 upgrade dpkg:armhf 1.17.25 1.17.25
2015-12-17 16:57:28 status half-configured dpkg:armhf 1.17.25
2015-12-17 16:57:28 status unpacked dpkg:armhf 1.17.25
2015-12-17 16:57:28 status half-installed dpkg:armhf 1.17.25
2015-12-17 16:57:28 status half-installed dpkg:armhf 1.17.25
2015-12-17 16:57:28 status unpacked dpkg:armhf 1.17.25
2015-12-17 16:57:28 status unpacked dpkg:armhf 1.17.25
2015-12-17 16:57:28 install e2fslibs:armhf <none> 1.42.12-1.1
2015-12-17 16:57:28 status half-installed e2fslibs:armhf 1.42.12-1.1
2015-12-17 16:57:28 status unpacked e2fslibs:armhf 1.42.12-1.1
2015-12-17 16:57:28 status unpacked e2fslibs:armhf 1.42.12-1.1
2015-12-17 16:57:29 install e2fsprogs:armhf <none> 1.42.12-1.1
2015-12-17 16:57:29 status half-installed e2fsprogs:armhf 1.42.12-1.1
2015-12-17 16:57:29 status unpacked e2fsprogs:armhf 1.42.12-1.1
2015-12-17 16:57:29 status unpacked e2fsprogs:armhf 1.42.12-1.1
2015-12-17 16:57:29 install findutils:armhf <none> 4.4.2-9+b1
2015-12-17 16:57:29 status half-installed findutils:armhf 4.4.2-9+b1
2015-12-17 16:57:30 status unpacked findutils:armhf 4.4.2-9+b1
2015-12-17 16:57:30 status unpacked findutils:armhf 4.4.2-9+b1
2015-12-17 16:57:30 install gcc-4.8-base:armhf <none> 4.8.4-1
2015-12-17 16:57:30 status half-installed gcc-4.8-base:armhf 4.8.4-1
2015-12-17 16:57:30 status unpacked gcc-4.8-base:armhf 4.8.4-1
2015-12-17 16:57:30 status unpacked gcc-4.8-base:armhf 4.8.4-1
